term,description,category,subcategory,lang
Тыныс,"Ауа жұтып, дем шығарғандық, денсаулықты қалпына келтіру жолындағы тыныштық.",Медицина,Емхана,kk
Салауат,Денсаулық пен ұзақ ғұмырдың белгісі.,Медицина,Емхана,kk
Отбасылық емхана,Отбасы мүшелеріне арналған емхана. Аурулар барып-келіп емделетін аурудың алдын алу шараларын жүргізетін мекеме.,Медицина,Емхана,kk
Мейірім,"Қайырым, рақым, шапағат сезімі.",Медицина,Емхана,kk
Қанат талмас,"Мықты ерік-жігер, саулық пен төзімділікті білдіретін фразалық тіркес.",Медицина,Емхана,kk
Жәрдем,"Мейіріммен көмектесу, қолдау және қолұшын созу ұғымдарын білдіреді.",Медицина,Емхана,kk
Ақниет,"Бір істі жасауға, адамдарға адал ниет.",Медицина,Тіс емханасы,kk
Асыл тіс,"Асыл – құнды, таза, қымбат. Тіс – азықты ұстауға, тістеп үзуге, шайнап ұсақтауға арналған өте берік азық қорыту мүшесі.",Медицина,Тіс емханасы,kk
Жарқын күлкі,"Ашық, нұры жайнаған күлкі.",Медицина,Тіс емханасы,kk
Салауат,Денсаулық пен амандықты білдіретін сөз.,Медицина,Тіс емханасы,kk
Шипа,"Аурудан айығу, денсаулықты қалпына келтіру.",Медицина,Тіс емханасы,kk
Шұғыла,Жарық немесе сәуле.,Медицина,Тіс емханасы,kk
Күлкі әлемі,Күлкі мен қуаныштың ортасы.,Медицина,Тіс емханасы,kk
Отыз екі,Бұл атау адам тістерінің жалпы санына байланысты қойылған.,Медицина,Тіс емханасы,kk
Сапа,"Нәрсенің жақсы немесе жоғары деңгейі, оның қасиеті мен ерекшеліктері.",Медицина,Тіс емханасы,kk
Жаңа күн,"Жаңа бастама, жаңалық, жаңа мүмкіндік, таңның атауы.",Медицина,Тіс емханасы,kk
Қуаныш,"Көңілдің көтеріліп, жақсы сезімдермен толуы, қуану сезімі.",Медицина,Тіс емханасы,kk
Сенім,"Бір нәрсеге немесе адамға сену, өзіндік тұрақтылық пен тұрақты сенім.",Медицина,Тіс емханасы,kk
Дайын көмек,"Қолдау, көмек көрсету, біреуге көмек қажет болған жағдайда оған көмек қолын созу.",Медицина,Тіс емханасы,kk
Ақмаржан,"Бағалы асыл тас, әдемі әрі жоғары бағаланатын элемент.",Медицина,Тіс емханасы,kk
Ақыл тіс,"Адамның ақыл-ойының немесе өмір тәжірибесінің белгісі, кейде адам ақылының кемелденуін білдіретін сөз",Медицина,Тіс емханасы,kk
Маржан тіс,"Әсем әрі әппақ тіс, маржандай болып қатар-қатар тізіліп тұрғандай әсер береді.",Медицина,Тіс емханасы,kk
Асыл,"Өте бағалы, жоғары қасиетке ие зат.",Медицина,Тіс емханасы,kk
Нәзік жан,"Өте сезімтал, мейірімді және табиғаты жұмсақ адам.",Медицина,Тіс емханасы,kk
Балауыз,"Табиғи материал, көбінесе шырақ немесе басқа да заттар жасау үшін қолданылады.",Медицина,Тіс емханасы,kk
Азу,"Бұл атау шайнау тістерімен байланысты болғандықтан, стоматологияның негізгі қызметін айқындау үшін таңдалған.",Медицина,Тіс емханасы,kk
Ем болсын,"Ем болсын – Жақсы денсаулық, ауруды жеңу тілегі, емдеу процесі.",Медицина,Тіс емханасы,kk
Денсаулық,Адамның физикалық және психикалық жағдайының жақсы болуы.,Медицина,Тіс емханасы,kk
Мәрмәр тіс,"Өте тығыз, әдемі тас түрі, көбінесе ғимараттарда немесе ескерткіштерде қолданылады.",Медицина,Тіс емханасы,kk
Тіс әлемі,"Тістерге қатысты барлық нәрсе, тістердің құрылымы, күтімі және аурулары туралы ғылым.",Медицина,Тіс емханасы,kk
